SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1
ARENTERP,Rajdarshan Industries Limited,EQ,18-OCT-1995,10,1,INE610C01014,10
ARFIN,Arfin India Limited,EQ,22-JUL-2025,1,1,INE784R01023,1
ARIES,Aries Agro Limited,BE,11-JAN-2008,10,1,INE298I01015,10
ARIHANT,Arihant Foundations & Housing Limited,EQ,20-APR-2026,10,1,INE413D01011,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10
ARIS,Arisinfra Solutions Limited,EQ,25-JUN-2025,2,1,INE0H9P01028,2
ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,10,1,INE0QRL01017,10
ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10
AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10
ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10
ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,2,1,INE968D01022,2
ARSSBL,Anand Rathi Share and Stock Brokers Limited,EQ,30-SEP-2025,5,1,INE549H01021,5
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1,1,INE025R01021,1
ARTNIRMAN,Art Nirman Limited,EQ,18-OCT-2021,10,1,INE738V01013,10
ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10
ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10
ARYAMAN,Aryaman Financial Services Limited,EQ,17-AUG-2026,10,1,INE032E01017,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1
ASAHISONG,Asahi Songwon Colors Limited,BE,29-AUG-2011,10,1,INE228I01012,10
ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10
ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2
ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2
ASHIKAG,Ashika Global Securities Limited,BE,20-APR-2026,10,1,INE094B01013,10
ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10
ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5
ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10,1,INE760Y01011,10
ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1
ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10,1,INE276G01015,10
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-APR-2010,10,1,INE363A01022,10
ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1
ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10
ASIANTNE,Asian Tea & Exports Limited,EQ,17-AUG-2026,10,1,INE822B01017,10
ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2,1,INE491J01022,2
ASMS,Avio Smart Market Stack Limited,EQ,09-FEB-2023,1,1,INE855F01042,1
ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10
ASSAMENT,Assam Entrade Limited,EQ,17-AUG-2026,10,1,INE165G01010,10
ASTAR,Asian Star Company Limited,EQ,20-APR-2026,10,1,INE194D01017,10
ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10
ASTERDM,Aster DM Quality Care Limited,EQ,26-FEB-2018,10,1,INE914M01019,10
ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2
ASTRON,Astron Paper & Board Mill Limited,BZ,29-DEC-2017,10,1,INE646X01014,10
ATALREAL,Atal Realtech Limited,EQ,12-MAY-2023,2,1,INE0ALR01029,2
ATAM,Atam Valves Limited,EQ,10-MAY-2023,10,1,INE09KD01013,10
ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1
ATHERENERG,Ather Energy Limited,EQ,06-MAY-2025,1,1,INE0LEZ01016,1
ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2,1,INE0NN701020,2
ATLANTAA,ATLANTAA LIMITED,EQ,25-SEP-2006,2,1,INE285H01022,2
ATLANTAELE,Atlanta Electricals Limited,EQ,29-SEP-2025,2,1,INE0Z4F01028,2
ATLASCYCLE,Atlas Cycles (Haryana) Limited,EQ,23-OCT-1996,5,1,INE446A01025,5
ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10
ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5
AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10
AUGMONT,Augmont Enterprises Limited,EQ,31-AUG-2026,5,1,INE16W401027,5
AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1
AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5
AURUS,AURUS GEM CORPORATION LIMITED,EQ,05-NOV-2013,10,1,INE142K01011,10
AUSOMENT,Ausom Enterprise Limited,EQ,17-APR-1996,10,1,INE218C01016,10
AUSTENG,Austin Engineering Company  Limited,EQ,17-AUG-2026,10,1,INE759F01012,10
AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10
AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10
AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2,1,INE0LCL01028,2
AVANCE,Avance Technologies Limited,EQ,17-AUG-2026,1,1,INE758A01072,1
AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,INE005B01027,2
AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1
AVG,AVG Logistics Limited,BE,12-MAY-2023,10,1,INE680Z01018,10
AVL,Aditya Vision Limited,EQ,06-NOV-2024,1,1,INE679V01027,1
AVONMORE,Avonmore Capital & Management Services Limited,EQ,04-JAN-2023,1,1,INE323B01024,1
AVROIND,AVRO INDIA LIMITED,EQ,07-APR-2022,1,1,INE652Z01025,1
AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1
AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,10,1,INE108V01019,10
AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,INE01BK01022,5
AWL,AWL Agri Business Limited,EQ,08-FEB-2022,1,1,INE699H01024,1
AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2
AXISCADES,AXISCADES Technologies Limited,EQ,21-DEC-2000,5,1,INE555B01013,5
AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1
AXTEL,Axtel Industries Limited,EQ,17-AUG-2026,10,1,INE767C01012,10
AYE,Aye Finance Limited,EQ,16-FEB-2026,2,1,INE501X01029,2
AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10
AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2,1,INE02IJ01035,2
AZADIND,Azad India Mobility Limited,EQ,17-AUG-2026,10,1,INE566M01017,10
BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10,1,INE878I01022,10
BAGFILMS,B.A.G Films and Media Limited,EQ,17-OCT-2003,2,1,INE116D01028,2
BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2,1,INE020D01022,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1
BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5
BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,10,1,INE377Y01014,10
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10
BAJAJINDEF,Indef Manufacturing Limited,EQ,21-FEB-2025,1,1,INE0O9T01021,1
BAJAJST,Bajaj Steel Industries Limited,EQ,20-APR-2026,5,1,INE704G01024,5
BAJEL,Bajel Projects Limited,EQ,19-DEC-2023,2,1,INE0KQN01018,2
BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,1,1,INE296A01032,1
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024,10,1,INE0S2G01011,10
BALAJITELE,Balaji Telefilms Limited,EQ,22-NOV-2000,2,1,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,2,1,INE618N01022,2
BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10
BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1
BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,10,1,INE011E01029,10
BANARBEADS,Banaras Beads Limited,EQ,07-JUL-1995,10,1,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10
